---
set at 3.45V
---
Time,BI,BV,AI,AV
0.043199118,-3.57E-10,0,-8.20E-10,0
0.087687857,-4.13E-10,0,-1.13E-09,0.050000001
0.132169932,-3.52E-10,0,-1.28E-09,0.100000001
0.176660582,-4.18E-10,0,-1.33E-09,0.150000006
0.221155047,-4.53E-10,0,-1.46E-09,0.200000003
0.265635192,-4.28E-10,0,-1.46E-09,0.25
0.31013158,-4.48E-10,0,-1.49E-09,0.300000012
0.35464415,-3.88E-10,0,-1.39E-09,0.349999994
0.399133831,-4.78E-10,0,-1.42E-09,0.400000006
0.44364354,-4.93E-10,0,-1.43E-09,0.449999988
0.488140881,-4.38E-10,0,-1.31E-09,0.5
0.532644868,-5.49E-10,0,-1.33E-09,0.550000012
0.577143133,-5.79E-10,0,-1.41E-09,0.600000024
0.621636629,-5.13E-10,0,-1.40E-09,0.649999976
0.666124463,-5.54E-10,0,-1.40E-09,0.699999988
0.710611284,-5.84E-10,0,-1.37E-09,0.75
0.75510478,-5.94E-10,0,-1.26E-09,0.800000012
0.799596369,-5.99E-10,0,-1.36E-09,0.850000024
0.844115615,-6.14E-10,0,-1.19E-09,0.899999976
0.888614833,-6.54E-10,0,-1.22E-09,0.949999988
0.933107436,-6.95E-10,0,-1.15E-09,1
0.977599025,-7.55E-10,0,-1.17E-09,1.049999952
1.022076368,-8.21E-10,0,-1.11E-09,1.100000024
1.066576481,-8.41E-10,0,-1.11E-09,1.149999976
1.111092925,-7.75E-10,0,-1.04E-09,1.200000048
1.155586362,-8.41E-10,0,-9.87E-10,1.25
1.200097084,-9.67E-10,0,-1.08E-09,1.299999952
1.244594336,-9.06E-10,0,-1.01E-09,1.350000024
1.28909266,-9.51E-10,0,-9.06E-10,1.399999976
1.333591938,-1.04E-09,0,-9.06E-10,1.450000048
1.378086329,-1.11E-09,0,-8.55E-10,1.5
1.422587514,-1.28E-09,0,-7.64E-10,1.549999952
1.467107654,-1.30E-09,0,-6.43E-10,1.600000024
1.511602163,-1.29E-09,0,-7.08E-10,1.649999976
1.556101322,-1.42E-09,0,-5.57E-10,1.700000048
1.600599647,-1.68E-09,0,-2.48E-10,1.75
1.645094156,-1.54E-09,0,-4.10E-10,1.799999952
1.689576149,-1.63E-09,0,-2.98E-10,1.850000024
1.734075427,-1.76E-09,0,-1.42E-10,1.899999976
1.778564095,-2.07E-09,0,2.99E-10,1.950000048
1.823079586,-2.08E-09,0,1.06E-10,2
1.867584467,-2.33E-09,0,3.24E-10,2.049999952
1.912074208,-2.59E-09,0,7.64E-10,2.099999905
1.956562042,-2.86E-09,0,9.97E-10,2.150000095
2.00104022,-2.94E-09,0,9.16E-10,2.200000048
2.04554224,-3.12E-09,0,1.16E-09,2.25
2.09005785,-3.52E-09,0,1.60E-09,2.299999952
2.134557962,-5.00E-09,0,3.04E-09,2.349999905
2.179065704,-4.63E-09,0,2.72E-09,2.400000095
2.223560333,-6.20E-09,0,4.38E-09,2.450000048
2.268059492,-4.87E-09,0,2.90E-09,2.5
2.312565327,-4.73E-09,0,2.78E-09,2.549999952
2.357063532,-5.21E-09,0,3.21E-09,2.599999905
2.401562929,-4.92E-09,0,2.80E-09,2.650000095
2.446074486,-4.39E-09,0,2.42E-09,2.700000048
2.490566015,-6.19E-09,0,4.20E-09,2.75
2.53506732,-6.24E-09,0,4.38E-09,2.799999952
2.579563618,-5.50E-09,0,3.53E-09,2.849999905
2.624057055,-6.20E-09,0,4.17E-09,2.900000095
2.668541193,-4.97E-09,0,3.00E-09,2.950000048
2.713042259,-4.89E-09,0,2.96E-09,3
2.757531881,-5.20E-09,0,3.20E-09,3.049999952
2.802043438,-5.52E-09,0,3.51E-09,3.099999905
2.846534252,-6.47E-09,0,4.56E-09,3.150000095
2.891024828,-6.57E-09,0,4.52E-09,3.200000048
2.935527802,-7.01E-09,0,4.94E-09,3.25
2.980006218,-6.46E-09,0,4.44E-09,3.299999952
3.024500608,-9.45E-09,0,7.36E-09,3.349999905
3.068999767,-9.60E-09,0,7.57E-09,3.400000095
3.113490343,-7.50E-05,0,7.50E-05,3.450000048
3.157985926,-7.50E-05,0,7.50E-05,3.5
3.202496529,-7.50E-05,0,7.50E-05,3.549999952
3.246987104,-7.50E-05,0,7.50E-05,3.599999905
3.291490316,-7.50E-05,0,7.50E-05,3.650000095
3.335984707,-7.50E-05,0,7.49E-05,3.700000048
3.380476236,-7.50E-05,0,7.50E-05,3.75
3.424968004,-7.50E-05,0,7.50E-05,3.799999952
3.469461441,-7.50E-05,0,7.50E-05,3.849999905
3.513947248,-7.50E-05,0,7.50E-05,3.900000095
3.558456898,-7.50E-05,0,7.50E-05,3.950000048
3.602958202,-7.50E-05,0,7.50E-05,4
3.647447824,-7.50E-05,0,7.50E-05,4.050000191
3.69194603,-7.50E-05,0,7.50E-05,4.099999905
3.736437798,-7.50E-05,0,7.50E-05,4.150000095
3.780926466,-7.50E-05,0,7.50E-05,4.199999809
3.825430393,-7.50E-05,0,7.50E-05,4.25
3.869916439,-7.50E-05,0,7.50E-05,4.300000191
3.914404154,-7.50E-05,0,7.50E-05,4.349999905
3.958890915,-7.50E-05,0,7.50E-05,4.400000095
4.003371239,-7.50E-05,0,7.50E-05,4.449999809
4.047841549,-7.50E-05,0,7.50E-05,4.5
4.092338085,-7.50E-05,0,7.50E-05,4.550000191
4.136814594,-7.50E-05,0,7.50E-05,4.599999905
4.181289673,-7.50E-05,0,7.50E-05,4.650000095
4.225799561,-7.50E-05,0,7.50E-05,4.699999809
4.270306587,-7.50E-05,0,7.50E-05,4.75
4.314798832,-7.50E-05,0,7.50E-05,4.800000191
4.359287739,-7.50E-05,0,7.50E-05,4.849999905
4.403786182,-7.50E-05,0,7.50E-05,4.900000095
4.448281288,-7.50E-05,0,7.50E-05,4.949999809
4.492763519,-7.50E-05,0,7.50E-05,5
