---
Testing if this works with silver GND probe as terminal B, Not conducting
---
Time,AI,AV
0.043166708,-9.61E-10,0
0.067685798,-1.30E-09,0.050000001
0.092666216,-1.45E-09,0.100000001
0.117632337,-1.49E-09,0.150000006
0.142595589,-1.59E-09,0.200000003
0.167549327,-1.64E-09,0.25
0.192519262,-1.62E-09,0.300000012
0.217484429,-1.56E-09,0.349999994
0.242459118,-1.59E-09,0.400000006
0.267411888,-1.56E-09,0.449999988
0.292387545,-1.63E-09,0.5
0.317353666,-1.58E-09,0.550000012
0.342306435,-1.57E-09,0.600000024
0.36727351,-1.66E-09,0.649999976
0.392236769,-1.65E-09,0.699999988
0.417201936,-1.65E-09,0.75
0.442155659,-1.63E-09,0.800000012
0.467130363,-1.62E-09,0.850000024
0.492084086,-1.64E-09,0.899999976
0.517037809,-1.57E-09,0.949999988
0.542015374,-1.62E-09,1
0.566967189,-1.63E-09,1.049999952
0.591941893,-1.57E-09,1.100000024
0.61690706,-1.60E-09,1.149999976
0.641859829,-1.60E-09,1.200000048
0.666813552,-1.58E-09,1.25
0.691777766,-1.56E-09,1.299999952
0.716756284,-1.58E-09,1.350000024
0.741710961,-1.59E-09,1.399999976
0.766685665,-1.66E-09,1.450000048
0.791648924,-1.65E-09,1.5
0.816601694,-1.64E-09,1.549999952
0.841564953,-1.66E-09,1.600000024
0.866532981,-1.59E-09,1.649999976
0.891510546,-1.60E-09,1.700000048
0.916465223,-1.67E-09,1.75
0.941441834,-1.56E-09,1.799999952
0.966407001,-1.61E-09,1.850000024
0.991372168,-1.61E-09,1.899999976
1.016336441,-1.59E-09,1.950000048
1.041301608,-1.58E-09,2
1.066265821,-1.59E-09,2.049999952
1.091232896,-1.58E-09,2.099999905
1.116198063,-1.50E-09,2.150000095
1.141153693,-1.52E-09,2.200000048
1.166120768,-1.53E-09,2.25
1.191099286,-1.52E-09,2.299999952
1.216056824,-1.47E-09,2.349999905
1.241036296,-1.46E-09,2.400000095
1.266005158,-1.52E-09,2.450000048
1.290963769,-1.54E-09,2.5
1.315927982,-1.51E-09,2.549999952
1.340892196,-1.48E-09,2.599999905
1.365867734,-1.41E-09,2.650000095
1.390820622,-1.39E-09,2.700000048
1.415798068,-1.32E-09,2.75
1.440763235,-1.38E-09,2.799999952
1.46572268,-1.42E-09,2.849999905
1.490692616,-1.37E-09,2.900000095
1.515657783,-1.22E-09,2.950000048
1.540623903,-1.32E-09,3
1.565587163,-1.25E-09,3.049999952
1.590553284,-1.22E-09,3.099999905
1.615507126,-1.19E-09,3.150000095
1.640474081,-1.19E-09,3.200000048
1.6654526,-1.09E-09,3.25
1.690406322,-1.15E-09,3.299999952
1.715382934,-1.06E-09,3.349999905
1.740350008,-9.66E-10,3.400000095
1.765305638,-9.36E-10,3.450000048
1.79027462,-8.75E-10,3.5
1.815239787,-7.84E-10,3.549999952
1.840220213,-7.69E-10,3.599999905
1.86517489,-7.69E-10,3.650000095
1.890151501,-5.82E-10,3.700000048
1.915117621,-4.76E-10,3.75
1.940077066,-4.40E-10,3.799999952
1.965043187,-4.45E-10,3.849999905
1.990010262,-3.49E-10,3.900000095
2.014975548,-2.28E-10,3.950000048
2.039940596,-2.23E-10,4
2.064906836,-1.16E-10,4.050000191
2.089861393,3.55E-11,4.099999905
2.11482954,1.02E-11,4.150000095
2.139806032,1.92E-10,4.199999809
2.164760828,2.68E-10,4.25
2.189739227,3.80E-10,4.300000191
2.214705467,4.76E-10,4.349999905
2.239663839,6.73E-10,4.400000095
2.264631987,8.05E-10,4.449999809
2.289599895,3.51E-09,4.5
2.314575672,9.80E-09,4.550000191
2.339532137,1.85E-09,4.599999905
2.364514589,2.25E-09,4.650000095
2.389480591,2.97E-09,4.699999809
2.414430618,3.95E-08,4.75
2.439399481,1.71E-08,4.800000191
2.46436286,1.55E-08,4.849999905
2.489328861,2.24E-08,4.900000095
2.514296055,4.14E-08,4.949999809
2.539264917,1.78E-08,5
